key,value
[UNK],0
中,1
不淨,2
者,3
潛潛,4
對答,5
大祭,6
司長,7
讚頌,8
者의,9
後,10
王,11
地位,12
大臣,13
百姓,14
戰場,15
各各,16
混亂,17
第,18
七,19
年,20
百,21
夫,22
長,23
護衛,24
兵,25
殿,26
言約,27
盟誓,28
王子,29
子女,30
本,31
族,32
祖上,33
基業,34
回復,35
罪,36
擔當,37
法,38
義,39
行하,40
律,41
例,42
丁寧,43
長老,44
對한,45
訟,46
事,47
證人,48
人,49
居,50
滿足,51
少年,52
子孫,53
支,54
派,55
家族,56
城,57
邑,58
村落,59
主의,60
救贖,61
自己,62
因하,63
列,64
國,65
主,66
書記官,67
鬼神,68
願하,69
求하,70
消息,71
傳하,72
者가,73
傳할,74
生命,75
妻,76
妾,77
救援,78
臣,79
僕,80
永遠,81
處,82
所,83
對敵,84
滅,85
忿,86
境界,87
北,88
便,89
煙氣,90
門,91
新郞,92
車,93
土地,94
骨,95
肉,96
律法,97
貪,98
心,99
三,100
治,101
理,102
母親,103
相關,104
記錄,105
捕虜,106
擄,107
掠,108
取하,109
弱한,110
者는,111
棕,112
櫚,113
兄弟,114
殿과,115
王宮,116
貴,117
窮乏,118
速히,119
臨하,120
遲滯,121
洞里,122
人生,123
來日,124
重,125
雨,126
雹,127
開國,128
以來,129
困,130
苦,131
依,132
託,133
保護,134
前,135
告,136
應하,137
詩,138
伶長,139
避하,140
永遠히,141
番,142
智慧,143
聰明,144
術,145
客,146
十,147
倍,148
臣下,149
甚히,150
至極히,151
裁判,152
附屬,153
震,154
怒,155
洗禮,156
屬,157
或,158
告하,159
葬事,160
道路,161
凄,162
凉,163
節期,164
荒,165
寂,166
祭司長,167
嘆息,168
處女,169
萬物,170
向하,171
善한,172
證據,173
命하,174
合하,175
住所,176
詛呪,177
爲하,178
山,179
爭,180
辯,181
世上,182
死亡,183
日,184
色,185
點,186
壁,187
右便,188
破,189
유대人,190
對하,191
將來,192
忽,193
然히,194
動物,195
食物,196
菜蔬,197
祭物,198
同情,199
産業,200
當한,201
永久,202
尺,203
量,204
東向,205
四面,206
女人,207
西,208
東,209
目前,210
人糞,211
眞相,212
解釋,213
異像,214
逃亡,215
陷穽,216
準備,217
紛爭,218
事蹟,219
戰爭,220
行爲,221
記에,222
決議,223
行事,224
可,225
者라,226
辯明,227
聖殿,228
犯하,229
敎訓,230
行實,231
意向,232
忍耐,233
許諾,234
詔書,235
屍體,236
二,237
族長,238
當身,239
民,240
分明히,241
靈,242
付託,243
眞理,244
境內,245
山地,246
聖靈,247
救主,248
豊盛,249
倉庫,250
汁,251
葡萄,252
祈禱,253
知識,254
漸漸,255
父親,256
四方,257
建築,258
怨讐,259
始作,260
男女,261
不法,262
赦하,263
福,264
飮食,265
祝謝,266
甥,267
姪,268
命,269
迎接,270
慰勞,271
榮光,272
無理,273
惡한,274
憤怒,275
醉,276
下體,277
禍,278
使者,279
拒逆,280
自願,281
使,282
喚,283
長幼,284
次,285
序,286
異常,287
定한,288
能力,289
保存,290
病,291
傷處,292
能히,293
激動,294
犯罪,295
香,296
爐,297
會,298
衆,299
染,300
贖罪,301
異邦,302
香氣,303
百合,304
花,305
沒,306
藥,307
安息,308
堅,309
剛,310
全,311
能,312
磐,313
石,314
牧,315
聖,316
幕,317
板,318
天下,319
萬,320
福音,321
傳播,322
審判,323
願대,324
故,325
凡,326
順從,327
入,328
敎,329
驕慢,330
魔鬼,331
定,332
滅亡,333
服從,334
命令,335
規,336
行할,337
羊,338
奇異,339
萬國,340
和睦,341
祭,342
犧牲,343
所得,344
金,345
孫子,346
孫女,347
六,348
一,349
千,350
當할,351
祖,352
私,353
慾,354
孕胎,355
苦痛,356
世界,357
生産,358
二千,359
四,360
恒常,361
仰,362
望,363
罰,364
矜恤을,365
猛烈,366
憤,367
城의,368
復活,369
或은,370
譏,371
弄,372
各其,373
停止,374
各,375
解,376
渴,377
牧場,378
外,379
和,380
親,381
取한,382
肉身,383
使徒,384
不良,385
行動,386
詭譎한,387
白,388
體,389
醉하,390
放,391
蕩,392
充滿,393
弟子,394
禁하,395
水門,396
廣場,397
午正,398
男子,399
女子,400
冊,401
物件,402
五日,403
女子,404
神,405
祭祀,406
請하,407
良心,408
親戚,409
自身,410
班,411
萬一,412
武裝,413
辱,414
劃,415
天地,416
個,417
誓願,418
制馭,419
誓約,420
約,421
行,422
或時,423
魔術,424
試驗,425
的으로,426
惡,427
鬼,428
憑藉,429
隨從,430
軍士,431
之,432
父母,433
正直,434
左右,435
留,436
宿,437
物,438
容納,439
秘密,440
靈魂,441
所生,442
寶座,443
行한,444
歷代,445
志,446
略,447
珍羞,448
供,449
饋,450
屬하,451
生育,452
蕃盛,453
征服,454
空中,455
生物,456
結,457
縛,458
稱讚,459
擇하,460
方,461
伯,462
回,463
報,464
果然,465
正午,466
同,467
腹,468
親舊,469
度,470
記憶,471
民衆,472
先知者,473
官員,474
異邦人,475
羞,476
當하,477
尊,478
威嚴,479
崇拜,480
所爲,481
毁,482
柱像,483
打破,484
手足,485
床,486
江,487
善,488
城門,489
公,490
軍,491
矜恤히,492
淨하,493
雷,494
受苦,495
培養,496
亡한,497
窓,498
面,499
恩惠,500
義의,501
膳物,502
只今,503
全部,504
民族,505
本土,506
奴婢,507
壓,508
制,509
主管,510
葡萄酒,511
盞,512
天使,513
硫黃,514
苦難,515
位,516
十二,517
歲라,518
五,519
不當,520
수羊,521
無,522
酵,523
餠,524
素,525
奠祭,526
根源,527
東方,528
平地,529
暴風,530
南方,531
發行,532
帳幕,533
宗族,534
娶하,535
寡婦,536
成就,537
建,538
基礎,539
者니,540
戀愛,541
無花果,542
通知,543
演劇,544
場,545
勸하,546
牲,547
畜,548
區別,549
屬한,550
神의,551
櫃,552
每,553
長大,554
獅子,555
花環,556
貌樣,557
甚한,558
痙攣,559
解産,560
呼吸,561
定價,562
禧,563
計算,564
權能,565
燔,566
愚,567
昧,568
正當,569
壇,570
周圍,571
寶物,572
箱子,573
千萬,574
罪惡,575
代身,576
譬喩,577
天國,578
主시,579
二月,580
條,581
銀,582
義人,583
天,584
惡人,585
價値,586
曠野,587
平原,588
爲한,589
祝福,590
前과,591
邪,592
縮,593
先生,594
溫,595
柔,596
判斷,597
火祭,598
法대,599
感動,600
亨,601
通,602
故로,603
虐待,604
打,605
作,606
狂風,607
極히,608
裁判長,609
朽,610
敗,611
衣服,612
平安,613
念慮,614
國民,615
引導,616
管轄,617
請,618
末,619
席,620
衰,621
敬畏,622
平,623
康,624
親히,625
穩全히,626
魂,627
降臨,628
欠,629
保全,630
大,631
抵,632
謀,633
害하,634
倨慢,635
警醒,636
明,637
哲,638
譴,639
責,640
邦,641
擇한,642
勇猛,643
豫備,644
勇士,645
八,646
對陣,647
眞實로,648
論,649
死生,650
鮮,651
血,652
實로,653
流離,654
少數,655
寓,656
畢,657
竟,658
强하,659
長이,660
災殃,661
患,662
難,663
榮華,664
鑑察,665
歲月,666
年歲,667
險惡,668
謙遜,669
眞珠,670
陣,671
避,672
人子,673
陸地,674
通過,675
水,676
女人,677
勢力,678
旗號,679
看,680
役,681
牌,682
數,683
爻,684
初等,685
學,686
問,687
儀文,688
地境,689
柏,690
木,691
伐,692
生水,693
折半,694
東海,695
西海,696
運行,697
溫氣,698
晝,699
夜,700
禁,701
食,702
通하,703
肉體,704
軍官,705
强盜,706
劍,707
者신,708
永永,709
搖動치,710
暴,711
虐,712
絶,713
保도,714
把,715
守,716
無知,717
子婦,718
洪水,719
舟,720
門直,721
畵像,722
虛,723
誕,724
陰,725
府,726
房,727
臆志로,728
亂,729
殺人,730
捕,731
圖謀,732
默,733
想,734
悅,735
納,736
朝夕,737
主人,738
財物,739
兼하,740
探知,741
剛愎함을,742
馬,743
兵隊,744
二萬,745
所産,746
敬,747
拜,748
地臺,749
會堂,750
敬虔,751
辯論,752
秋收,753
穀物,754
糧食,755
依賴,756
堅固,757
破滅,758
公平,759
指示,760
定하,761
偶像,762
任意,763
賞,764
職分,765
敎會,766
聖徒,767
追擊,768
得,769
意,770
事情,771
忠誠,772
使臣,773
良,774
村,775
名,776
方言,777
特別히,778
豫言,779
德,780
通譯,781
者만,782
自,783
服,784
誡命,785
