key,value
[UNK],0
律法,1
記錄,2
災殃,3
臨하,4
罪惡,5
主의,6
眞理,7
恩寵,8
懇,9
求치,10
臣,11
僕,12
贖한,13
者,14
三,15
百,16
六,17
十,18
名,19
被造物,20
解放,21
子女,22
榮光,23
自由,24
爲하,25
贖罪,26
日,27
對答,28
擇하,29
中,30
魔鬼,31
百姓,32
或,33
魂,34
生命,35
滅,36
山,37
把,38
守,39
軍,40
迎接,41
受苦,42
者가,43
弟子,44
主,45
城,46
建設,47
怒,48
忿,49
激,50
發,51
許諾,52
王,53
行하,54
詔書,55
屍體,56
出戰,57
軍隊,58
子孫,59
人子,60
忿怒,61
當하,62
實果,63
東,64
風,65
堅,66
强,67
萬一,68
命하,69
屬한,70
支,71
派,72
邑,73
列,74
邦,75
人,76
徵兆,77
約束,78
基業,79
變,80
充分히,81
盟誓,82
保證,83
萬國,84
權勢,85
避하,86
一,87
二,88
八,89
先知者,90
寢室,91
告하,92
犧牲,93
方,94
伯,95
王子,96
異邦,97
衣服,98
罰,99
聖潔,100
殿,101
祭壇,102
周,103
鉢,104
區別,105
洗禮,106
聖靈,107
丹粧,108
金,109
外貌,110
便紙,111
者이,112
者인,113
宮,114
內,115
大,116
監,117
役,118
官,119
一名,120
念慮,121
時에,122
鬼神,123
求,124
錘,125
證據,126
稱하,127
當身,128
怨讐,129
所見,130
善한,131
三寸,132
自己,133
養育,134
次例,135
宮女,136
主管,137
內侍,138
定한,139
外,140
求하,141
中心,142
矜恤히,143
幸福,144
救援,145
防牌,146
對敵,147
服從,148
病,149
恩賜,150
方言,151
通譯,152
城門,153
傷한,154
江,155
地境,156
女人,157
金고,158
祭祀,159
穀食,160
旅行,161
詛呪,162
寡婦,163
床,164
訓戒,165
明,166
哲,167
注意,168
要塞,169
方向,170
進行,171
族,172
屬,173
山地,174
近,175
地,176
平地,177
南方,178
海邊,179
故로,180
境內,181
兄弟,182
困難,183
窮乏,184
孫子,185
曾,186
孫,187
玄,188
五代,189
代,190
七,191
歲라,192
向하,193
垓,194
子,195
土城,196
城壁,197
將次,198
能力,199
任意,200
末,201
世,202
苦痛,203
勢力,204
羞恥,205
避,206
羞,207
辱,208
後,209
紛爭,210
膽大,211
願하,212
居,213
少年,214
主人,215
問安,216
曠野,217
使者,218
來日,219
明白히,220
父親,221
親族,222
請하,223
壇,224
責,225
望,226
豫備,227
安息,228
第,229
十二,230
年,231
五,232
眞實로,233
者는,234
決斷,235
隊,236
夫,237
長이,238
善,239
懇切히,240
惡,241
尊,242
貴,243
心,244
敬,245
拜,246
祭司長,247
會,248
衆,249
千萬,250
頭,251
領,252
智慧,253
足,254
打,255
作,256
容納,257
禁하,258
天國,259
者의,260
男便,261
容貌,262
甚히,263
業,264
帳幕,265
한番,266
定하,267
審判,268
體,269
死亡,270
長子,271
肢體,272
至今,273
福,274
民族,275
分,276
逾越,277
節,278
各,279
緣故,280
傳播,281
復活,282
門,283
處女,284
男子,285
長老,286
番,287
歲月,288
年歲,289
祖上,290
險惡,291
物件,292
因하,293
犯罪,294
取하,295
震,296
眞珠,297
城의,298
琉璃,299
精,300
聰明,301
知識,302
正直,303
十一月,304
月,305
四,306
冊,307
朗讀,308
祖,309
拒逆,310
譬喩,311
嗣,312
同生,313
媤,314
父,315
羊,316
剛愎하게,317
窟,318
四方,319
樹木,320
陣,321
逃亡,322
對하,323
判斷,324
世上,325
柏,326
香,327
木,328
新郞,329
新婦,330
荒廢,331
太后,332
萬歲,333
壽,334
煩,335
悶,336
應答,337
故,338
捷,339
徑,340
引導,341
堅固,342
長官,343
糧食,344
葡萄酒,345
貯蓄,346
兵,347
車,348
두山,349
山은,350
놋山이더라,351
感謝,352
神,353
妙,354
莫,355
測,356
行事,357
奇異,358
靈魂,359
時,360
日用,361
許多,362
破壞,363
絶,364
義,365
聖,366
幕,367
仰,368
帳,369
幅,370
靑色,371
紫,372
色,373
紅,374
工巧,375
繡,376
便,377
唯一,378
主시,379
義人,380
棕,381
櫚,382
蕃盛,383
發育,384
親히,385
當한,386
祝福,387
逼迫,388
族長,389
長,390
獅子,391
忽,392
然히,393
屠,394
戮,395
無罪,396
苦難,397
大祭,398
司長,399
臨,400
祈禱,401
天使,402
爐,403
聖徒,404
合하,405
寶座,406
牧,407
哭,408
榮華,409
毁,410
荒,411
蕪,412
平安,413
安全,414
行한,415
表,416
徵,417
傳하,418
感動,419
閒寂,420
萬,421
特別,422
所有,423
第一,424
前,425
出生,426
命,427
言約,428
盜賊,429
詐欺,430
器具,431
所望,432
罪,433
時方,434
道,435
遵,436
行,437
各其,438
家族,439
宗族,440
旗를,441
能히,442
嫉妬,443
赦하,444
丁寧,445
家屋,446
彼,447
此,448
鑑察,449
計數,450
五萬,451
千,452
淫亂,453
世代,454
表蹟,455
怨望,456
創,457
傷,458
葡萄,459
森林,460
父母,461
對한,462
六,463
殄,464
半,465
記憶,466
厚待,467
奴婢,468
因,469
虐待,470
有益,471
始作,472
陰,473
府,474
九,475
十月,476
讚頌,477
惡人,478
向한,479
驕慢,480
房,481
晝,482
夜,483
職分,484
汨沒,485
向方,486
虛空,487
目覩,488
位,489
聖經,490
永生,491
詳考,492
製造,493
品,494
豊富,495
通商,496
藍,497
寶,498
石,499
珊瑚,500
紅寶,501
物品,502
貿易,503
無顔,504
當,505
有司,506
具備,507
發見,508
發하,509
速히,510
遲滯,511
北,512
銀,513
者라,514
禍가,515
報,516
應,517
滅亡,518
操心,519
總數,520
二千,521
勇士,522
白,523
暫,524
間,525
恩惠,526
處,527
所,528
蘇,529
醒,530
建築,531
庫,532
堂,533
木像,534
日月,535
星,536
辰,537
崇拜,538
結,539
縛,540
劇,541
烈,542
毒한,543
破滅,544
毒,545
地方,546
毒酒,547
不淨,548
呼,549
術,550
客,551
士,552
占匠,553
解釋,554
試驗,555
永遠히,556
傳言,557
救助,558
慈悲,559
數,560
爻,561
懇請,562
腫,563
詩,564
伶長,565
行爲,566
作別,567
亨,568
通,569
自,570
服,571
豹,572
下,573
河水,574
慰勞,575
平坦,576
擇할,577
丈人,578
光明,579
光線,580
權能,581
層,582
階,583
左右,584
主掌,585
藉勢,586
本,587
名節,588
勝,589
族譜,590
彷彿,591
恒常,592
混沌,593
空虛,594
同行,595
害,596
葬事,597
墓,598
室,599
慾心,600
殺人,601
神像,602
高는,603
廣,604
道의,605
遠,606
捕虜,607
泰平,608
安樂,609
聖殿,610
少時,611
櫃,612
依賴,613
破,614
治,615
理,616
母親,617
臣下,618
犯하,619
獄,620
抵,621
公,622
太陽,623
天,624
終日,625
靈,626
平,627
康,628
永永,629
變하,630
偶像,631
鄕,632
里,633
民,634
暴,635
稱,636
軍士,637
敬畏,638
子子,639
異邦人,640
女子,641
交,642
合,643
可,644
憎,645
者니,646
媤母,647
事件,648
成就,649
贖하,650
祭,651
敬虔,652
忍耐,653
溫,654
柔,655
至極히,656
能,657
朝夕,658
亡하,659
所産,660
豊盛,661
國民,662
五名,663
冕,664
旒,665
冠,666
國,667
君,668
一日,669
困,670
强하,671
患,672
難,673
重要,674
威嚴,675
右便,676
材,677
華麗,678
物,679
東方,680
法,681
牲,682
畜,683
農夫,684
事業,685
園,686
乳母,687
從者,688
機會,689
素,690
規,691
例,692
形像,693
宮庭,694
食物,695
二萬,696
人生,697
依支,698
呼吸,699
價値,700
缺乏,701
沓,702
衰,703
敗,704
割,705
禮,706
受,707
胎,708
靈,709
非常,710
傷處,711
尋常,712
大會,713
恥辱,714
先生,715
上,716
典,717
謗,718
贖,719
掌中,720
擇한,721
尺數,722
貌樣,723
安心,724
擁,725
圍,726
暗黑,727
關係,728
老人,729
敎導,730
議論,731
盟,732
約,733
流行,734
避難處,735
虛僞,736
昏,737
迷,738
福音,739
光彩,740
留,741
宿,742
異像,743
秘密,744
決코,745
雨,746
雷,747
印,748
封,749
二人,750
主가,751
卽時,752
準備,753
四代,754
貫盈,755
燈불,756
黑,757
暗,758
命令,759
陸地,760
者처,761
地面,762
怨恨,763
救贖,764
罪責,765
當할,766
萬物,767
音聲,768
玄關,769
尺,770
量,771
四面,772
十字架,773
敵,774
城과,775
警,776
親舊,777
代身,778
凌,779
解産,780
土,781
産,782
妬忌,783
男女,784
憑藉,785
맏兄,786
纏帶,787
壯士,788
嚴,789
警戒,790
活潑,791
無理,792
無數,793
姉妹,794
連하,795
南,796
南便,797
細,798
麻,799
布,800
假令,801
通行,802
神靈,803
艱辛히,804
맞은便,805
勢,806
海岸,807
船,808
穩全히,809
不,810
目前,811
時代,812
貪,813
男,814
女종,815
詩人,816
度,817
或은,818
裁判,819
誠實,820
保護,821
健,822
一般,823
出入,824
堪當,825
精神,826
謹,827
愼,828
士師,829
卜,830
惑,831
信聽,832
潛潛,833
付託,834
免하,835
病者,836
動,837
波濤,838
公平,839
虐,840
戰爭,841
平和,842
總會,843
請,844
盤,845
威令,846
閒,847
談,848
漏洩,849
秋收,850
眞實,851
以前,852
許,853
除하,854
苦,855
歲,856
子息,857
生産,858
橄,859
欖,860
香氣,861
수羊,862
場所,863
燔,864
愆,865
一例,866
境界,867
經綸,868
豫定,869
肉身,870
情,871
慾,872
眼目,873
生,874
降臨,875
眞正한,876
律,877
誡命,878
妻,879
仁慈,880
喜,881
樂,882
殺,883
證人,884
飮食,885
迅速,886
思想,887
饑饉,888
甚하,889
衰弱,890
金과,891
器,892
皿,893
所聞,894
所爲,895
柱像,896
打破,897
得,898
意,899
不義,900
財物,901
無,902
益,903
義理,904
淨,905
潔,906
淨하,907
花,908
義의,909
南向,910
守直,911
戰場,912
各各,913
遺業,914
卑,915
賤하,916
燈臺,917
焚香,918
詭,919
詐,920
神의,921
結婚,922
應하,923
慰安,924
阿諂,925
先,926
塋,927
叛逆,928
世界,929
土地,930
西,931
伏兵,932
旗가,933
石榴,934
瑪,935
瑙,936
使徒,937
日字,938
寓,939
講,940
論,941
勸하,942
傷하,943
條,944
懲戒,945
定,946
異蹟,947
剛愎케,948
結合,949
長大,950
女王,951
正月,952
班,953
班長,954
班列,955
四千,956
威,957
匠,958
默示,959
求할,960
吩,961
咐,962
判斷力,963
强烈,964
海,965
待遇,966
譜,967
系,968
四人,969
侍女,970
前日,971
抑留,972
奴隸,973
空中,974
搜索,975
違反,976
極히,977
惡한,978
占領,979
根源,980
盞,981
願대,982
私生,983
異端,984
求乞,985
火祭,986
穀物,987
蔑視,988
九요,989
風流,990
孕胎,991
靡,992
匠이,993
手,994
頹,995
落,996
修理,997
漸漸,998
全,999
窮,1000
究,1001
手中,1002
發行,1003
離婚,1004
書,1005
債,1006
蝗,1007
蟲,1008
調査,1009
背叛,1010
門直,1011
樂器,1012
靑年,1013
具,1014
移徙,1015
悖,1016
逆,1017
馬,1018
擔當,1019
面,1020
對,1021
倉庫,1022
軍中,1023
委任,1024
四萬,1025
幼稚,1026
城안,1027
他國,1028
可하,1029
決心,1030
强盛,1031
畢,1032
竟,1033
使役,1034
愚,1035
昧,1036
將來,1037
身,1038
事,1039
擄,1040
掠,1041
亡,1042
母,1043
果然,1044
頭目,1045
急히,1046
統轄,1047
甁,1048
事機,1049
猛烈,1050
避할,1051
和睦,1052
賤,1053
破器,1054
行할,1055
木手,1056
輸,1057
運,1058
倨慢,1059
抑制,1060
或時,1061
瘟,1062
疫,1063
疲困,1064
報讐,1065
誠實히,1066
伸寃,1067
他人,1068
定數,1069
終身,1070
本來,1071
유대人,1072
罪人,1073
凶惡,1074
哀,1075
痛,1076
會堂,1077
辯論,1078
所有主,1079
相續,1080
腎,1081
囊,1082
完全,1083
行實,1084
穩全,1085
碎,1086
告,1087
以上,1088
順從,1089
視務,1090
聽,1091
從,1092
本分,1093
意向,1094
處하,1095
變化,1096
毒蛇,1097
地獄,1098
判決,1099
侍衛隊,1100
沈,1101
安慰,1102
居住,1103
染,1104
降服,1105
祭司張,1106
灌,1107
油,1108
如前히,1109
會計,1110
影響,1111
平日,1112
遍,1113
滿,1114
奪取,1115
高가,1116
千夫,1117
槍,1118
萬을,1119
箴,1120
言,1121
使,1122
喚,1123
姑捨하고,1124
王宮,1125
宦官,1126
欠,1127
只今,1128
銀行,1129
邊,1130
利,1131
刑罰,1132
布帳,1133
亂,1134
豫言,1135
都,1136
二名,1137
娶하,1138
茂盛,1139
代代,1140
永遠,1141
食,1142
煙氣,1143
硫黃,1144
行閣,1145
先知,1146
平生,1147
熱心,1148
矜恤을,1149
改,1150
優劣,1151
豫言者,1152
禮物,1153
內臟,1154
二月,1155
合當,1156
對面,1157
鑑,1158
戒,1159
禍,1160
恢復,1161
全部,1162
壇의,1163
成,1164
式,1165
節期,1166
政事,1167
施行,1168
擇,1169
里에,1170
見,1171
種類,1172
孤獨,1173
訟,1174
禱,1175
拍手,1176
隱密,1177
左,1178
膳物,1179
分量,1180
乏,1181
以下,1182
次,1183
定規,1184
每日,1185
合意,1186
隨從,1187
願,1188
部分,1189
重修,1190
臺,1191
重,1192
總,1193
計,1194
大門,1195
侮辱,1196
傳함,1197
兄,1198
短,1199
壓,1200
制,1201
婦人과,1202
老,1203
穀,1204
必然,1205
다락房,1206
證明,1207
漁夫,1208
商品,1209
商賈,1210
釘,1211
市民,1212
權,1213
榮,1214
讒,1215
訴,1216
글字,1217
少女,1218
聘,1219
請求,1220
酬,1221
取한,1222
標,1223
奇事,1224
已往,1225
所用,1226
傲慢,1227
氣,1228
衝,1229
天하,1230
利益,1231
祭物,1232
良心,1233
熱烈,1234
所願,1235
圖謀,1236
少數,1237
確信,1238
博士,1239
寢床,1240
愁心,1241
多數,1242
虛,1243
誕,1244
占,1245
卦,1246
關念,1247
消滅,1248
善待,1249
廟,1250
管樂,1251
心思,1252
洞,1253
燭,1254
神보,1255
邪,1256
嗔,1257
臺요,1258
否認,1259
主도,1260
按,1261
弱한,1262
十一,1263
孤兒,1264
願치,1265
解弛,1266
富,1267
貴가,1268
萬有,1269
主宰,1270
天下,1271
傳道,1272
默,1273
想,1274
殿이,1275
犯,1276
同等,1277
誓願,1278
酵,1279
草,1280
空手,1281
鐵,1282
斫,1283
伐,1284
保全,1285
宴會,1286
下人,1287
虛妄,1288
怯,1289
事務,1290
裁判官,1291
辯明,1292
寶物,1293
沒數,1294
金防,1295
牌,1296
固執,1297
杖,1298
嗤,1299
笑,1300
奇妙,1301
頌,1302
祝,1303
治療,1304
場,1305
魚,1306
鷹,1307
肉體,1308
珍,1309
味,1310
比較,1311
處分,1312
各種,1313
貨가,1314
營門,1315
琵,1316
琶,1317
小,1318
鼓,1319
竪,1320
琴,1321
女兒,1322
鍛鍊,1323
同一,1324
之,1325
乳,1326
疑心,1327
是非,1328
稅吏,1329
皇帝,1330
確實,1331
事實,1332
審問,1333
上疏,1334
交際,1335
라人,1336
上官,1337
衙前,1338
笞,1339
刑,1340
裁判長,1341
輕,1342
如數,1343
妾,1344
學士,1345
田地,1346
種子,1347
職,1348
工,1349
營業,1350
裕足,1351
生活,1352
生水,1353
折半,1354
東海,1355
西海,1356
認定,1357
稱讚,1358
性品,1359
溫泉,1360
屬하,1361
沙漠,1362
荒蕪地,1363
一致,1364
歌,1365
和答,1366
至善,1367
地臺,1368
銀은,1369
綠이,1370
農業,1371
極한,1372
北方,1373
拷衣로,1374
下體,1375
處한,1376
純,1377
頑强,1378
誓約,1379
無效,1380
地位,1381
應할,1382
影,1383
細微,1384
頃刻,1385
擧祭,1386
果木,1387
物産,1388
者임,1389
武士,1390
行,1391
伍,1392
老,1393
松,1394
愴,1395
搖動,1396
頑,1397
牛,1398
膝,1399
附屬,1400
龍,1401
總理,1402
板,1403
樂,1404
肩,1405
帶,1406
植物,1407
日光,1408
永,1409
存,1410
磐,1411
可치,1412
惡보,1413
謙遜,1414
開拓,1415
名聲,1416
作定,1417
黨,1418
爭,1419
儉閱,1420
實로,1421
中門,1422
其他,1423
村,1424
女,1425
唱,1426
個,1427
窓,1428
免,1429
痛哭,1430
取,1431
通用,1432
誹謗,1433
重量,1434
領,1435
率,1436
富者,1437
寶石,1438
善하,1439
偵,1440
探,1441
보告,1442
嘆息,1443
弱하,1444
詛呪거리가,1445
胸,1446
저便,1447
充滿,1448
稅,1449
骨,1450
肉,1451
廢하,1452
防備,1453
二更,1454
更,1455
制馭,1456
惡行,1457
埋葬,1458
糞,1459
淫,1460
姦,1461
企待,1462
謀,1463
略,1464
乳房,1465
和,1466
滿足,1467
水面,1468
運行,1469
召集,1470
期限,1471
基礎,1472
罪囚,1473
大闕,1474
甥,1475
姪,1476
空,1477
報酬,1478
指導,1479
東西,1480
關한,1481
警告,1482
隊商,1483
根本,1484
本體,1485
取할,1486
月經,1487
萬事,1488
親近,1489
山城,1490
凡人,1491
猛獸,1492
凡,1493
穴,1494
掃,1495
除,1496
幽,1497
鑛,1498
兵器,1499
災難,1500
排設,1501
區域,1502
地震,1503
朝貢,1504
劍,1505
減,1506
讚揚,1507
大軍,1508
前보,1509
冒瀆,1510
遺言,1511
名目,1512
指定,1513
因한,1514
埋伏,1515
膽,1516
力,1517
鹽,1518
谷,1519
芥,1520
脚,1521
臟腑,1522
壇단과,1523
軍服,1524
風俗,1525
牟,1526
麥,1527
時期,1528
初,1529
替,1530
追擊,1531
寢,1532
廣大,1533
形體,1534
無子,1535
設立,1536
開川,1537
朔,1538
未,1539
久,1540
親,1541
舊,1542
汁,1543
暫時,1544
繼續,1545
地가,1546
淸潔,1547
大路,1548
行人,1549
路로,1550
高利,1551
貸,1552
容恕,1553
東門,1554
甲,1555
瀋判,1556
廳,1557
