key,value
0,[UNK]
1,律法
2,記錄
3,災殃
4,臨하
5,罪惡
6,主의
7,眞理
8,恩寵
9,懇
10,求치
11,臣
12,僕
13,贖한
14,者
15,三
16,百
17,六
18,十
19,名
20,被造物
21,解放
22,子女
23,榮光
24,自由
25,爲하
26,贖罪
27,日
28,對答
29,擇하
30,中
31,魔鬼
32,百姓
33,或
34,魂
35,生命
36,滅
37,山
38,把
39,守
40,軍
41,迎接
42,受苦
43,者가
44,弟子
45,主
46,城
47,建設
48,怒
49,忿
50,激
51,發
52,許諾
53,王
54,行하
55,詔書
56,屍體
57,出戰
58,軍隊
59,子孫
60,人子
61,忿怒
62,當하
63,實果
64,東
65,風
66,堅
67,强
68,萬一
69,命하
70,屬한
71,支
72,派
73,邑
74,列
75,邦
76,人
77,徵兆
78,約束
79,基業
80,變
81,充分히
82,盟誓
83,保證
84,萬國
85,權勢
86,避하
87,一
88,二
89,八
90,先知者
91,寢室
92,告하
93,犧牲
94,方
95,伯
96,王子
97,異邦
98,衣服
99,罰
100,聖潔
101,殿
102,祭壇
103,周
104,鉢
105,區別
106,洗禮
107,聖靈
108,丹粧
109,金
110,外貌
111,便紙
112,者이
113,者인
114,宮
115,內
116,大
117,監
118,役
119,官
120,一名
121,念慮
122,時에
123,鬼神
124,求
125,錘
126,證據
127,稱하
128,當身
129,怨讐
130,所見
131,善한
132,三寸
133,自己
134,養育
135,次例
136,宮女
137,主管
138,內侍
139,定한
140,外
141,求하
142,中心
143,矜恤히
144,幸福
145,救援
146,防牌
147,對敵
148,服從
149,病
150,恩賜
151,方言
152,通譯
153,城門
154,傷한
155,江
156,地境
157,女人
158,金고
159,祭祀
160,穀食
161,旅行
162,詛呪
163,寡婦
164,床
165,訓戒
166,明
167,哲
168,注意
169,要塞
170,方向
171,進行
172,族
173,屬
174,山地
175,近
176,地
177,平地
178,南方
179,海邊
180,故로
181,境內
182,兄弟
183,困難
184,窮乏
185,孫子
186,曾
187,孫
188,玄
189,五代
190,代
191,七
192,歲라
193,向하
194,垓
195,子
196,土城
197,城壁
198,將次
199,能力
200,任意
201,末
202,世
203,苦痛
204,勢力
205,羞恥
206,避
207,羞
208,辱
209,後
210,紛爭
211,膽大
212,願하
213,居
214,少年
215,主人
216,問安
217,曠野
218,使者
219,來日
220,明白히
221,父親
222,親族
223,請하
224,壇
225,責
226,望
227,豫備
228,安息
229,第
230,十二
231,年
232,五
233,眞實로
234,者는
235,決斷
236,隊
237,夫
238,長이
239,善
240,懇切히
241,惡
242,尊
243,貴
244,心
245,敬
246,拜
247,祭司長
248,會
249,衆
250,千萬
251,頭
252,領
253,智慧
254,足
255,打
256,作
257,容納
258,禁하
259,天國
260,者의
261,男便
262,容貌
263,甚히
264,業
265,帳幕
266,한番
267,定하
268,審判
269,體
270,死亡
271,長子
272,肢體
273,至今
274,福
275,民族
276,分
277,逾越
278,節
279,各
280,緣故
281,傳播
282,復活
283,門
284,處女
285,男子
286,長老
287,番
288,歲月
289,年歲
290,祖上
291,險惡
292,物件
293,因하
294,犯罪
295,取하
296,震
297,眞珠
298,城의
299,琉璃
300,精
301,聰明
302,知識
303,正直
304,十一月
305,月
306,四
307,冊
308,朗讀
309,祖
310,拒逆
311,譬喩
312,嗣
313,同生
314,媤
315,父
316,羊
317,剛愎하게
318,窟
319,四方
320,樹木
321,陣
322,逃亡
323,對하
324,判斷
325,世上
326,柏
327,香
328,木
329,新郞
330,新婦
331,荒廢
332,太后
333,萬歲
334,壽
335,煩
336,悶
337,應答
338,故
339,捷
340,徑
341,引導
342,堅固
343,長官
344,糧食
345,葡萄酒
346,貯蓄
347,兵
348,車
349,두山
350,山은
351,놋山이더라
352,感謝
353,神
354,妙
355,莫
356,測
357,行事
358,奇異
359,靈魂
360,時
361,日用
362,許多
363,破壞
364,絶
365,義
366,聖
367,幕
368,仰
369,帳
370,幅
371,靑色
372,紫
373,色
374,紅
375,工巧
376,繡
377,便
378,唯一
379,主시
380,義人
381,棕
382,櫚
383,蕃盛
384,發育
385,親히
386,當한
387,祝福
388,逼迫
389,族長
390,長
391,獅子
392,忽
393,然히
394,屠
